x y
0 -7.105427357601002e-13
1 117.11979166666593
2 233.83333333333258
3 349.7343749999992
4 464.4166666666659
5 577.4739583333326
6 688.4999999999991
7 797.0885416666657
8 902.8333333333325
9 1005.3281249999991
10 1104.1666666666658
11 1198.9427083333323
12 1289.2499999999989
13 1374.6822916666656
14 1454.8333333333321
15 1529.2968749999989
16 1597.6666666666656
17 1659.5364583333321
18 1714.4999999999986
19 1762.1510416666654
20 1802.0833333333321
21 1833.8906249999986
22 1857.1666666666656
23 1871.5052083333321
24 1876.4999999999982
25 1871.744791666665
26 1856.9999999999984
27 1832.6927083333317
28 1799.4166666666652
29 1757.7656249999986
30 1708.3333333333317
31 1651.7135416666652
32 1588.4999999999984
33 1519.286458333332
34 1444.6666666666652
35 1365.2343749999989
36 1281.583333333332
37 1194.3072916666656
38 1103.9999999999989
39 1011.2552083333319
40 916.6666666666652
41 820.8281249999987
42 724.3333333333325
43 627.7760416666652
44 531.7499999999998
45 436.84895833333235
46 343.66666666666606
47 252.79687499999977
48 164.83333333333144
49 80.36979166666515
50 -2.2737367544323206e-12
51 -75.79687499999997
52 -146.99999999999994
53 -213.70312499999991
54 -275.9999999999999
55 -333.9843749999999
56 -387.7499999999999
57 -437.39062499999983
58 -482.99999999999983
59 -524.6718749999999
60 -562.4999999999999
61 -596.5781249999998
62 -626.9999999999998
63 -653.8593749999998
64 -677.2499999999998
65 -697.2656249999998
66 -713.9999999999998
67 -727.5468749999998
68 -737.9999999999999
69 -745.4531249999999
70 -749.9999999999999
71 -751.7343749999998
72 -750.7499999999998
73 -747.1406249999998
74 -740.9999999999997
75 -732.4218749999997
76 -721.5
77 -708.3281249999998
78 -692.9999999999998
79 -675.6093749999998
80 -656.2499999999998
81 -635.0156249999998
82 -611.9999999999998
83 -587.2968749999999
84 -560.9999999999999
85 -533.2031249999998
86 -504.00000000000034
87 -473.4843750000001
88 -441.7500000000001
89 -408.8906250000001
90 -375.0000000000001
91 -340.1718749999998
92 -304.5000000000002
93 -268.0781250000002
94 -231.0
95 -193.35937500000023
96 -155.25000000000023
97 -116.76562499999977
98 -77.99999999999977
99 -39.04687499999977
100 2.2737367544323206e-13
