x y
0 9.619015492622663e-11
1 128.03260293375695
2 254.8188730542572
3 379.2441337317905
4 500.3280591861917
5 617.2149969806433
6 729.1648380484103
7 835.5444070036319
8 935.8193467485189
9 1029.5464725901948
10 1116.3665722181922
11 1195.997629004154
12 1268.2284471275325
13 1332.9126580267657
14 1389.9630886497707
15 1439.3464728755298
16 1481.0784883676806
17 1515.2191019458933
18 1541.8682073718228
19 1561.1615401956078
20 1573.266855051781
21 1578.380351479871
22 1576.723335018607
23 1568.5391009466584
24 1554.0900286682845
25 1533.654875298107
26 1507.526257575435
27 1476.0083117516588
28 1439.4145216052566
29 1398.0657052178212
30 1352.288151607001
31 1302.4118987487527
32 1248.7691449387894
33 1191.6927858475865
34 1131.5150699955775
35 1068.5663657501173
36 1003.1740332811423
37 935.6613952526459
38 866.3468003361013
39 795.5427739346269
40 723.5552507955836
41 650.6828844611191
42 577.2164287620471
43 503.4381868212222
44 429.6215232530485
45 356.0304354853506
46 282.91918033467664
47 210.5319521778838
48 139.10260925259718
49 68.8544448077082
50 2.1827872842550278e-11
51 -67.25908439794148
52 -132.73218025289316
53 -196.23975091241664
54 -257.61339910975585
55 -316.69588627375924
56 -373.34112544918753
57 -427.4141499135949
58 -478.79105945765696
59 -527.3589461771116
60 -573.0158015259476
61 -615.6704062740391
62 -655.242204912749
63 -691.6611659695591
64 -724.8676295950027
65 -754.8121437083828
66 -781.455289910773
67 -804.7675002953947
68 -824.7288662168685
69 -841.3289400154063
70 -854.5665306235278
71 -864.4494939305623
72 -870.9945187118683
73 -874.2269088883968
74 -874.1803628198923
75 -870.8967502931355
76 -864.4258878188357
77 -854.8253128066899
78 -842.160057148034
79 -826.502420695404
80 -807.9317450943417
81 -786.5341883840447
82 -762.4025007548353
83 -735.6358018160372
84 -706.3393597023551
85 -674.6243723149128
86 -640.6077509719853
87 -604.4119067162665
88 -566.1645395042178
89 -525.9984304827722
90 -484.05123753344196
91 -440.46529425330937
92 -395.3874125132861
93 -348.96868872928644
94 -301.3643139551241
95 -252.73338789952868
96 -203.23873695095745
97 -153.04673628278556
98 -102.32713609944472
99 -51.25289207172034
100 -1.2530809311155816e-10
