n s W(s)
0 0.0 0.0
1 0.01 0.009999934200068004
2 0.02 0.019999473603661364
3 0.03 0.02999822342989193
4 0.04 0.03999578892904394
5 0.05 0.049991775398158675
6 0.06 0.05998578819661722
7 0.07 0.06997743276172091
8 0.08 0.07996631462426847
9 0.09 0.0899520394241297
10 0.1 0.09993421292581474
11 0.11 0.10991244103403827
12 0.12 0.11988632980927864
13 0.13 0.1298554854833301
14 0.14 0.1398195144748492
15 0.15 0.14977802340489277
16 0.16 0.15973061911244904
17 0.17 0.16967690866995913
18 0.18 0.17961649939882982
19 0.19 0.18954899888493673
20 0.2 0.19947401499411635
21 0.21 0.20939115588764787
22 0.22 0.21930003003772242
23 0.23 0.229200246242901
24 0.24 0.2390914136435587
25 0.25 0.24897314173731594
26 0.26 0.25884504039445544
27 0.27 0.26870671987332434
28 0.28 0.2785577908357212
29 0.29 0.28839786436226716
30 0.3 0.29822655196776027
31 0.31 0.30804346561651275
32 0.32 0.3178482177376708
33 0.33 0.32764042124051557
34 0.34 0.33741968952974544
35 0.35000000000000003 0.34718563652073925
36 0.36 0.35693787665479804
37 0.37 0.36667602491436757
38 0.38 0.37639969683823815
39 0.39 0.38610850853672374
40 0.4 0.39580207670681716
41 0.41000000000000003 0.4054800186473235
42 0.42 0.4151419522739685
43 0.43 0.42478749613448363
44 0.44 0.4344162694236655
45 0.45 0.4440278919984101
46 0.46 0.4536219843927205
47 0.47000000000000003 0.46319816783268875
48 0.48 0.4727560642514492
49 0.49 0.48229529630410456
50 0.5 0.491815487382624
51 0.51 0.501316261630711
52 0.52 0.5107972439586416
53 0.53 0.5202580600580744
54 0.54 0.529698336416827
55 0.55 0.5391177003336224
56 0.56 0.5485157799328034
57 0.5700000000000001 0.5578922041790139
58 0.58 0.5672466028918475
59 0.59 0.5765786067604625
60 0.6 0.5858878473581616
61 0.61 0.5951739571569375
62 0.62 0.6044365695419831
63 0.63 0.6136753188261651
64 0.64 0.6228898402644614
65 0.65 0.6320797700683617
66 0.66 0.6412447454202282
67 0.67 0.6503844044876215
68 0.68 0.6594983864375845
69 0.6900000000000001 0.6685863314508886
70 0.7000000000000001 0.6776478807362385
71 0.71 0.6866826765444385
72 0.72 0.6956903621825151
73 0.73 0.7046705820278
74 0.74 0.7136229815419695
75 0.75 0.7225472072850422
76 0.76 0.7314429069293319
77 0.77 0.7403097292733583
78 0.78 0.7491473242557121
79 0.79 0.7579553429688748
80 0.8 0.7667334376729947
81 0.81 0.7754812618096141
82 0.8200000000000001 0.7841984700153527
83 0.8300000000000001 0.7928847181355416
84 0.84 0.8015396632378109
85 0.85 0.8101629636256289
86 0.86 0.818754278851791
87 0.87 0.8273132697318624
88 0.88 0.8358395983575665
89 0.89 0.8443329281101285
90 0.9 0.8527929236735625
91 0.91 0.8612192510479111
92 0.92 0.8696115775624307
93 0.93 0.8779695718887266
94 0.9400000000000001 0.8862929040538324
95 0.9500000000000001 0.894581245453238
96 0.96 0.902834268863863
97 0.97 0.911051648456975
98 0.98 0.919233059811053
99 0.99 0.9273781799245966
100 1.0 0.9354866872288767
101 1.01 0.9435582616006318
102 1.02 0.9515925843747066
103 1.03 0.9595893383566321
