n w M2L
0 0.001 2.3995619301717945
0 0.01 2.356443883413529
1 0.02 2.228783146010839
2 0.03 2.025795256936185
3 0.04 1.7613168713615877
4 0.05 1.453140706110168
5 0.060000000000000005 1.1216304875294654
6 0.06999999999999999 0.7881878369621771
7 0.08 0.473711763525841
8 0.09 0.19718210429056704
9 0.09999999999999999 -0.025524520915575888
10 0.11 -0.1825096068523463
11 0.12 -0.2663779930657393
12 0.13 -0.2744083981387486
13 0.14 -0.20839516378653666
14 0.15000000000000002 -0.07421084470862294
15 0.16 0.1188454419929208
16 0.17 0.3588421466142808
17 0.18000000000000002 0.632080721266064
18 0.19 0.9239675987617382
19 0.2 1.2198383380607893
20 0.21000000000000002 1.505692086894694
21 0.22 1.7688076075004915
22 0.23 1.9982245471590048
23 0.24000000000000002 2.1850845714483214
24 0.25 2.3228359366124494
25 0.26 2.4073118827984956
26 0.27 2.4366979351189144
27 0.28 2.411406011066248
28 0.29000000000000004 2.333874444544449
29 0.3 2.208312977002578
30 0.31 2.040410759308358
31 0.32 1.8370237498157564
32 0.33 1.6058558378276189
33 0.34 1.355145772806864
34 0.35000000000000003 1.0933696965366835
35 0.36000000000000004 0.8289668732303852
36 0.37 0.5700941696854045
37 0.38 0.3244130021834337
38 0.39 0.0989108636285323
39 0.4 -0.1002418195312913
40 0.41000000000000003 -0.26779988107799824
41 0.42000000000000004 -0.39951794983268485
42 0.43 -0.4921933243123142
43 0.44 -0.5436797146135479
44 0.45 -0.5528747499154392
45 0.46 -0.519684385461133
46 0.47000000000000003 -0.44496746372018947
47 0.48000000000000004 -0.330463709945235
48 0.49 -0.17870838999803595
49 0.5 0.007063256312449084
50 0.51 0.22301885638188423
51 0.52 0.4648362704068063
52 0.53 0.7278129578194239
53 0.54 1.006975065109259
54 0.55 1.2971842100349704
55 0.56 1.5932401958206128
56 0.5700000000000001 1.8899781463679801
57 0.5800000000000001 2.1823588057159213
58 0.59 2.465550988273435
59 0.6 2.735005398196563
60 0.61 2.986519254369796
61 0.62 3.2162913602614935
62 0.63 3.420967444240887
63 0.64 3.5976757650641957
64 0.65 3.7440531286731584
65 0.66 3.858261596234115
66 0.67 3.9389962793566156
67 0.68 3.98548471736558
68 0.6900000000000001 3.9974784135888513
69 0.7000000000000001 3.9752371737781687
70 0.7100000000000001 3.919506940701467
71 0.72 3.831491855526565
72 0.73 3.712821300065116
73 0.74 3.5655126849851513
74 0.75 3.391930749011408
75 0.76 3.1947441241459273
76 0.77 2.9768799027597197
77 0.78 2.7414769156112015
78 0.79 2.4918383960730353
79 0.8 2.2313846666415884
80 0.81 1.9636064395290305
81 0.8200000000000001 1.6920192754514574
82 0.8300000000000001 1.420119694053028
83 0.8400000000000001 1.1513433767177048
84 0.85 0.8890258487713254
85 0.86 0.6363659738185561
86 0.87 0.39639253889981774
87 0.88 0.17193415585916227
88 0.89 -0.03440734739206164
89 0.9 -0.22027992234097837
90 0.91 -0.3836006062888373
91 0.92 -0.5225711094385588
92 0.93 -0.6356896945940207
93 0.9400000000000001 -0.7217594008951664
94 0.9500000000000001 -0.7798926990391419
95 0.9600000000000001 -0.8095126980954319
96 0.97 -0.8103510533292138
97 0.98 -0.7824427501141145
98 0.99 -0.7261179612323758
99 1.0 -0.6419911937082361
