n s W(s)
0 0.0 1.3960287006642064e-11
1 0.01 0.01592274899111945
2 0.02 0.031844051009882746
3 0.03 0.04776247182219029
4 0.04 0.06367659082726895
5 0.05 0.07958500114043154
6 0.06 0.09548630941371705
7 0.07 0.11137913586652282
8 0.08 0.12726211415564315
9 0.09 0.14313389128437493
10 0.1 0.15899312760742568
11 0.11 0.17483849670519724
12 0.12 0.190668685325468
13 0.13 0.20648239333783103
14 0.14 0.22227833362354055
15 0.15 0.23805523206316082
16 0.16 0.25381182741182506
17 0.17 0.2695468712727642
18 0.18 0.285259128047052
19 0.19 0.3009473747608915
20 0.2 0.3166104011413964
21 0.21 0.3322470094758252
22 0.22 0.3478560145130061
23 0.23 0.3634362434682856
24 0.24 0.378986535933322
25 0.25 0.3945057437817745
26 0.26 0.40999273114045565
27 0.27 0.42544637430800947
28 0.28 0.44086556168911883
29 0.29 0.4562491937192803
30 0.3 0.4715961828570201
31 0.31 0.4869054534459636
32 0.32 0.5021759416738583
33 0.33 0.5174065955214786
34 0.34 0.5325963747098257
35 0.35000000000000003 0.5477442506319647
36 0.36 0.5628492062480532
37 0.37 0.5779102360703661
38 0.38 0.5929263460670171
39 0.39 0.6078965536639842
40 0.4 0.6228198875738755
41 0.41000000000000003 0.6376953878352296
42 0.42 0.6525221057188446
43 0.43 0.6672991036381788
44 0.44 0.6820254551094465
45 0.45 0.6967002447253279
46 0.46 0.7113225679707398
47 0.47000000000000003 0.725891531362862
48 0.48 0.7404062521965926
49 0.49 0.7548658586217982
50 0.5 0.7692694894832712
51 0.51 0.7836162943249079
52 0.52 0.7979054333057576
53 0.53 0.8121360771712887
54 0.54 0.8263074071268548
55 0.55 0.8404186148298933
56 0.56 0.8544689023644239
57 0.5700000000000001 0.868457482088516
58 0.58 0.8823835766591372
59 0.59 0.8962464188966166
60 0.6 0.9100452518414883
61 0.61 0.9237793285731826
62 0.62 0.9374479122201649
63 0.63 0.9510502759206716
64 0.64 0.9645857026630651
65 0.65 0.978053485402242
66 0.66 0.9914529268151142
67 0.67 1.0047833393524286
68 0.68 1.0180440451941877
69 0.6900000000000001 1.0312343761043437
70 0.7000000000000001 1.0443536734607903
71 0.71 1.0574012881962602
72 0.72 1.0703765806628525
73 0.73 1.0832789206668991
74 0.74 1.0961076873437605
75 0.75 1.108862269168739
76 0.76 1.121542063874415
77 0.77 1.1341464783519655
78 0.78 1.1466749286627191
79 0.79 1.159126839966035
80 0.8 1.171501646434919
81 0.81 1.1837987912248593
