n w det
0 0.0 2.5128150010615794e-28
1 0.01 2.4749799140543617e-28
2 0.02 2.3630729405844875e-28
3 0.03 2.1818565014059844e-28
4 0.04 1.9391601262660602e-28
5 0.05 1.645719775266017e-28
6 0.06 1.3149550415458047e-28
7 0.07 9.626863999830586e-29
8 0.08 6.067952559366059e-29
9 0.09 2.668302035807585e-29
10 0.1 -3.643652183503304e-30
11 0.11 -2.8149776932250996e-29
12 0.12 -4.466401375569809e-29
13 0.13 -5.105067493768714e-29
14 0.14 -4.526876344105326e-29
15 0.15 -2.5433065189225465e-29
16 0.16 1.0123469803238525e-29
17 0.17 6.278689861881496e-29
18 0.18 1.3359989166551639e-28
19 0.19 2.2320073845655803e-28
20 0.2 3.3176475760986106e-28
21 0.21 4.589492103305287e-28
22 0.22 6.038427939497003e-28
23 0.23 7.64921070198654e-28
24 0.24 9.400088249418755e-28
25 0.25 1.1262509991193291e-27
26 0.26 1.3200933532035259e-27
27 0.27 1.5172743263815647e-27
28 0.28 1.7128297976868045e-27
29 0.29 1.9011119455110005e-27
30 0.3 2.0758244984306717e-27
31 0.31 2.2300748242196508e-27
32 0.32 2.356446498733429e-27
33 0.33 2.4470923296045704e-27
34 0.34 2.493850768961235e-27
35 0.35000000000000003 2.4883867575685656e-27
36 0.36 2.4223612883491876e-27
37 0.37 2.2876282359028363e-27
38 0.38 2.0764626132721446e-27
39 0.39 1.781824135436547e-27
40 0.4 1.3976537540824482e-27
41 0.41000000000000003 9.19210611434827e-28
42 0.42 3.434473411893605e-28
43 0.43 -3.305704490186173e-28
44 0.44 -1.1012000819290328e-27
45 0.45 -1.9637094877269137e-27
46 0.46 -2.9097152375816e-27
47 0.47000000000000003 -3.9265666871637724e-27
48 0.48 -4.996673073252501e-27
49 0.49 -6.0967773512250746e-27
50 0.5 -7.197156436092831e-27
51 0.51 -8.2607777836067e-27
52 0.52 -9.242359154456347e-27
53 0.53 -1.0087390414526539e-26
54 0.54 -1.0731059545999032e-26
55 0.55 -1.1097097755359317e-26
56 0.56 -1.1096580874100158e-26
57 0.5700000000000001 -1.0626586883784325e-26
58 0.58 -9.568833418259704e-27
59 0.59 -7.788174391065092e-27
60 0.6 -5.1310321232981526e-27
61 0.61 -1.4236972914438203e-27
62 0.62 3.529394180584635e-27
63 0.63 9.947611670699419e-27
64 0.64 1.8076017880085325e-26
65 0.65 2.818764466357013e-26
66 0.66 4.0585464450116446e-26
67 0.67 5.560494860504622e-26
68 0.68 7.361640789369454e-26
69 0.6900000000000001 9.502763950246864e-26
70 0.7000000000000001 1.202865884936385e-25
71 0.71 1.498840660953111e-25
72 0.72 1.843572891412155e-25
73 0.73 2.242924087343539e-25
74 0.74 2.703277174982896e-25
75 0.75 3.2315799273957023e-25
76 0.76 3.835371399484969e-25
77 0.77 4.522824746916216e-25
78 0.78 5.302782345256936e-25
79 0.79 6.184802825635626e-25
80 0.8 7.179197549219217e-25
81 0.81 8.297076650729856e-25
82 0.8200000000000001 9.550404357927464e-25
83 0.8300000000000001 1.0952030647812404e-24
84 0.84 1.2515757941470644e-24
85 0.85 1.4256377038575664e-24
86 0.86 1.6189736194745039e-24
87 0.87 1.833279681180862e-24
88 0.88 2.0703676906072004e-24
89 0.89 2.3321732614671618e-24
90 0.9 2.6207596305564877e-24
91 0.91 2.9383274989331402e-24
92 0.92 3.287217516923159e-24
93 0.93 3.669922698971997e-24
94 0.9400000000000001 4.089090371872842e-24
95 0.9500000000000001 4.547533028872054e-24
96 0.96 5.048235152870068e-24
97 0.97 5.594361413498029e-24
98 0.98 6.1892624109006465e-24
99 0.99 6.836491977896954e-24
100 1.0 7.539802288031975e-24
