s tmax
0.0 -3.5908978534978195e-08
0.2 5685.773231257561
0.4 11351.941968218627
0.6000000000000001 16978.03407782421
0.8 22542.887604063697
1.0 28024.91198864559
1.2000000000000002 33402.32732751037
1.4000000000000001 38653.38288940626
1.6 43756.55606080708
1.8 48690.732822057325
2.0 53435.37080463243
2.2 57970.645924772136
2.4000000000000004 62277.583537705475
2.6 66338.17500945047
2.8000000000000003 70135.48055509594
3.0 73653.71914968209
3.2 76878.3462751758
3.4000000000000004 79796.12022786762
3.6 82395.15767130477
3.8000000000000003 84664.97908537777
4.0 86596.54472640553
4.2 88182.28168139374
4.4 89416.1025682165
4.6000000000000005 90293.41640458081
4.800000000000001 90811.13214007532
5.0 90967.65531947953
5.2 90762.8783212069
5.4 90198.16458952404
5.6000000000000005 89276.32725826267
5.800000000000001 88001.6025416553
6.0 86379.61824850785
6.2 84417.35775637906
6.4 82123.11976553546
6.6000000000000005 79506.47413514555
6.800000000000001 76578.21408867138
7.0 73350.30506097665
7.2 69835.83044559904
7.4 66048.93448806205
7.6000000000000005 62004.7625591401
7.800000000000001 57719.399031058885
8.0 53209.802969280165
8.200000000000001 48493.741843131604
8.4 43589.72345045768
8.6 38516.9262427378
8.8 33295.12823100225
9.0 27944.634646295337
9.200000000000001 22486.204522739397
9.4 16940.976366488263
9.600000000000001 11330.393069848651
9.8 5676.126226325985
10.0 2.3515895009040833e-08
10.200000000000001 -5676.085300547769
10.4 -11330.229793273611
10.600000000000001 -16940.610590084223
10.8 -22485.55821176665
11.0 -27943.63270058646
11.200000000000001 -33293.69927993091
11.4 -38515.00340785901
11.600000000000001 -43587.24506879202
11.8 -48490.65214476874
12.0 -53206.05270273052
12.200000000000001 -57714.946030196035
12.4 -61999.5722459089
12.600000000000001 -66042.98030557553
12.8 -69829.09421678516
13.0 -73342.7772676181
13.200000000000001 -76569.89406758035
13.4 -79497.37018704182
13.600000000000001 -82113.24917433807
13.8 -84406.7467163254
14.0 -86368.3016975997
14.200000000000001 -87989.62390033645
14.4 -89263.73807381396
14.600000000000001 -90185.02408626
14.8 -90749.25285899476
15.0 -90953.61776281963
15.200000000000001 -90796.76114184712
15.4 -90278.79560949095
15.600000000000001 -89401.31974192243
15.8 -88167.42777329334
16.0 -86581.71287450613
16.2 -84650.26357395039
16.400000000000002 -82380.65285336366
16.6 -79781.9194261838
16.8 -76864.54067682894
17.0 -73640.39671212016
17.2 -70122.72494292026
17.400000000000002 -66326.06458292203
17.6 -62266.19041742175
17.8 -57960.03515831195
18.0 -53425.59966373164
18.2 -48681.8502619518
18.400000000000002 -43748.60237608163
18.6 -38646.38960294961
18.8 -33396.31735349336
19.0 -28019.900113301235
19.200000000000003 -22538.881331292243
19.400000000000002 -16975.034890951327
19.6 -11349.947062565407
19.8 -5684.777777197931
20.0 -2.659481230545967e-08
