n s phi1 d4_phi1 phi2 d4_phi2 phi3 phi4 phi5
0 0.0 -8.881784197001252e-16 0.0005485767551882506 -1.0269562977782698e-15 0.00023021239603971048 -7.771561172376096e-16 5.551115123125783e-17 2.0261570199409107e-15
1 0.01 0.0001646285518712709 0.0005470096543251185 0.00012776401804379112 0.00022973835396715425 0.0001846510101347898 0.000561028358510296 -0.00042125544590045083
2 0.02 0.0003292557371923355 0.0005454464457680605 0.0002555272672484579 0.0002292651607438378 0.00036930141843061204 0.0011220559219988213 -0.0008425105446853293
3 0.03 0.000493880194426255 0.0005438871205463682 0.0003832889808749809 0.0002287928149555837 0.0005539506238281533 0.001683081895013705 -0.0012637649486831048
4 0.04 0.0006585005674899502 0.0005423316697090972 0.0005110483944823288 0.0002283213151904787 0.0007385980261167824 0.00224410548164361 -0.0016850183096218802
5 0.05 0.0008231155057392692 0.0005407800843250261 0.0006388047459141705 0.0002278506600388697 0.0009232430259374647 0.002805125885514237 -0.002106270278627684
6 0.06 0.0009877236639533327 0.0005392323554826132 0.0007665572752999991 0.00022738084809336033 0.0011078850247761285 0.0033661423097863796 -0.002527520506222805
7 0.07 0.0011523237023194355 0.0005376884742899552 0.0008943052250453623 0.0002269118779488073 0.0012925234249699658 0.0039271539571577585 -0.002948768642325364
8 0.08 0.0013169142864175032 0.000536148431874745 0.0010220478398305227 0.00022644374820231721 0.0014771576296999378 0.004488160029863852 -0.003370014336249144
9 0.09 0.0014814940872036053 0.0005346122193842287 0.001149784366606274 0.0002259764574532427 0.0016617870429939396 0.005049159729676622 -0.0037912572367025804
10 0.1 0.001646061780995689 0.0005330798279851651 0.0012775140545856836 0.00022551000430317915 0.0018464110697261893 0.005610152257904122 -0.004212496991788259
11 0.11 0.0018106160494572032 0.0005315512488637836 0.0014052361552423578 0.00022504438735596098 0.0020310291156125093 0.006171136815393052 -0.004633733249002583
12 0.12 0.0019751555795837206 0.0005300264732257421 0.0015329499223057305 0.0002245796052176586 0.0022156405872154894 0.006732112602524487 -0.005054965655234764
13 0.13 0.0021396790636855068 0.0005285054922960854 0.0016606546117546653 0.0002241156564965741 0.0024002448919381025 0.007293078819218923 -0.005476193856766176
14 0.14 0.0023041851993727547 0.0005269882973192045 0.0017883494818150478 0.00022365253980323864 0.002584841438026758 0.007854034664934173 -0.0058974174992704465
15 0.15 0.002468672689541318 0.0005254748795587939 0.001916033792952132 0.00022319025375040828 0.0027694296345684155 0.008414979338662087 -0.006318636227812091
16 0.16 0.002633140242356835 0.000523965230297812 0.0020437068078697704 0.00022272879695306113 0.0029540088914899176 0.00897591203893594 -0.006739849686846544
17 0.17 0.0027975865712394077 0.0005224593408384375 0.0021713677915025514 0.00022226816802839325 0.0031385786195589904 0.0095368319638241 -0.007161057520218547
18 0.18 0.002962010394849224 0.0005209572025020309 0.0022990160110107696 0.00022180836559581554 0.0033231382303808565 0.010097738310932192 -0.007582259371163011
19 0.19 0.0031264104370705703 0.0005194588066290908 0.002426650735781473 0.00022134938827695025 0.003507687136400345 0.010658630277403547 -0.00800345488230303
20 0.2 0.0032907854269980663 0.0005179641445792156 0.0025542712374165277 0.00022089123469562746 0.0036922247508986983 0.011219507059919531 -0.008424643695650047
