s W_tmm_classic_t W_tmm_eigenvectors_t W_wrm_t
0.0 0.0 -1.594912654673311e-11 -3.590897844395655e-08
0.2 5359.602512907949 4303.200957898701 5685.773216556467
0.4 10698.053408743835 8713.504356483028 11351.941938872784
0.6000000000000001 15994.284554024392 13204.818943116908 16978.03403394697
0.8 21227.394452976794 17751.063540231855 22542.887545825855
1.0 26376.730744026485 22326.188142964624 28024.911916275334
1.2000000000000002 31421.97171308008 26904.20766370724 33402.32724129228
1.4000000000000001 36343.20650191264 31459.249108305 38653.3827896812
1.6 41121.01369511963 35965.61265548928 43756.55594797031
1.8 45736.53797549243 40397.84674492342 48690.732696557185
2.0 50171.56454530126 44730.83687447936 53435.37066696823
2.2 54408.59101978622 48939.907379873104 57970.64577549277
2.4000000000000004 58430.89650913482 53000.93503628373 62277.583377406176
2.6 62222.60761632071 56890.47289903308 66338.17483877018
2.8000000000000003 65768.76109035179 60585.88240545335 70135.48037471628
3.0 69055.36288767631 64065.471408486555 73653.71896032151
3.2 72069.44340867263 67308.63551861781 76878.3460775892
3.4000000000000004 74799.1086912454 70295.99990678039 79796.1200228422
3.6 77233.58735950741 73009.55857678855 82395.15745965566
3.8000000000000003 79363.2731422817 75432.80805879693 84664.97886794608
4.0 81179.76279364439 77550.87250935343 86596.54450405412
4.2 82675.8892658757 79350.61732970731 88182.28145500424
4.4 83845.75000392756 80820.7486298118 89416.10233868507
4.6000000000000005 84684.73024977007 81951.89616539168 90293.41617281502
4.800000000000001 85189.52126467596 82736.67775100842 90811.1319069895
5.0 85358.13339756164 83169.74359198418 90967.65508599405
5.2 85189.90261451305 83247.79946876621 90762.87808824063
5.4 84685.48912516877 82969.60823334508 90198.1643579934
5.6000000000000005 83846.87876227073 82335.96962188084 89276.32702907769
5.800000000000001 82677.37645801327 81349.67893316314 88001.6023157154
6.0 81181.59318145724 80015.46565120733 86379.61802669917
6.2 79365.4277218223 78339.91358490355 84417.35753956996
6.4 77236.04338948028 76331.36454199252 82123.119554576
6.6000000000000005 74801.83972653105 73999.80793417367 79506.47393086134
6.800000000000001 72072.41933853988 71356.75901244437 76578.21389186056
7.0 69058.54997827215 68415.12864698541 73350.3048724099
7.2 65772.12203099855 65189.08768715551 69835.8302660142
7.4 62226.10156909551 61693.92896071668 66048.9343181611
7.6000000000000005 58434.479161149415 57945.92989689409 62004.76239958848
7.800000000000001 54412.21463753104 53962.21858822552 57719.398882481735
8.0 50175.178030363204 49760.64584757821 53209.80283226073
8.200000000000001 45740.08692090234 45359.665478446026 48493.741718207486
8.4 41124.440441533305 40778.224570657294 43589.72333812155
8.6 36346.450192777396 36035.665174210495 38516.92614343297
8.8 31424.968347888374 31151.638207230477 33295.1281451229
9.0 26379.413228708014 26146.029937385712 27944.634574182797
9.200000000000001 21229.69264643173 21038.900857591332 22486.204464684008
9.4 15996.125309752884 15850.43627455266 16940.97632272588
9.600000000000001 10699.360610476526 10600.907460202056 11330.39304055809
9.8 5360.29710309978 5310.6417977013125 5676.126211634604
10.0 8.176925803127233e-11 0.0 0.0
10.200000000000001 -5360.379945277974 -5310.641797701361 -5676.085285892244
10.4 -10699.68379154363 -10600.9074602021 -11330.229763982119
10.600000000000001 -15996.834046543723 -15850.436274552709 -16940.610546257813
10.8 -21230.91988131945 -21038.90085759138 -22485.558153563878
11.0 -26381.279640996203 -26146.029937385712 -27943.6326282199
11.200000000000001 -31427.582373253834 -31151.63820723052 -33293.699193669716
11.4 -36349.90805264231 -36035.665174210495 -38515.00330802682
11.600000000000001 -41128.82618405952 -40778.224570657345 -43587.24495576648
11.8 -45745.472475106275 -45359.66547844607 -48490.65201897896
12.0 -50181.62327466209 -49760.64584757821 -53206.052564657526
12.200000000000001 -54419.76748384147 -53962.21858822555 -57714.94588036835
12.4 -58443.17565547179 -57945.92989689409 -61999.57208490372
12.600000000000001 -62235.96600933189 -61693.92896071672 -66042.98013401637
12.8 -65783.16710256519 -65189.08768715554 -69829.09403533768
13.0 -69070.77690788673 -68415.12864698541 -73342.77707698662
13.200000000000001 -72085.81806638105 -71356.7590124444 -76569.89386851178
13.4 -74816.38909678956 -73999.8079341737 -79497.36998031475
13.600000000000001 -77251.71135914615 -76331.36454199252 -82113.24896076461
13.8 -79382.1715873783 -78339.91358490357 -84406.74649674771
14.0 -81199.35982298 -80015.46565120733 -86368.30147288623
14.200000000000001 -82696.10260001695 -81349.67893316316 -87989.62367137684
14.4 -83866.49125046592 -82335.96962188085 -89263.73784151813
14.600000000000001 -84705.90521815133 -82969.60823334509 -90185.02385155298
14.8 -85211.0302892433 -83247.7994687662 -90749.25262281182
15.0 -85379.87166734469 -83169.74359198418 -90953.61752610654
15.200000000000001 -85211.7618415438 -82736.67775100842 -90796.76090555149
