u p
576078.0 0.0
580467.4224627002 0.0
587485.3976548385 0.0
589308.7810177157 0.0
592538.9603057771 0.012
595544.0924063541 0.031
588930.3676346311 0.054
591460.5667377543 0.081
595918.3383373542 0.107
606260.3489214389 0.124
607055.5163606697 0.146
608435.3069682622 0.164
618365.8989795853 0.186
621029.9603224547 0.201
618989.3635886548 0.217
617607.9057083087 0.241
615133.0505571087 0.258
622667.6395565395 0.275
626858.523582078 0.285
636554.4026125167 0.299
647304.0044599014 0.31
653513.315111963 0.316
658523.5395605013 0.32
657621.015640486 0.33
665198.6161579015 0.338
666625.5842902093 0.346
674320.7103410247 0.354
677496.5482379248 0.36
681618.4196075249 0.367
681405.8746654096 0.372
682955.3690404097 0.381
